AFF_LOVE_POINT	Love points: %d%%
GUILD_MEMBER_SPECIFIC_GRAVITY	Baðýþlanan EXP
GUILD_NAME	Lonca adý
GUILD_NOT_ENOUGH_MATERIAL	Bu bina için yeterli inþaat malzemesine sahip deðilsin.
GUILD_NOT_ENOUGH_MONEY	Bu bina için yeterli Yang'a sahip deðilsin.
GUILD_NO_NOTICE_PERMISSION	Duyuru yapmak için gerekli iznin yok.
GUILD_OBJECT	Nesne
GUILD_OFFER_EXP	Tecrübe yatýr
GUILD_SHORT_EXP	Yeterli Tecrübe Puaný yok.
GUILD_TILE_BASEINFO	Bölge bilgileri
GUILD_TILE_BOARD	Lonca notlarý
GUILD_TILE_GRADE	Yönetici Pozisyonu
GUILD_TILE_INFO	Lonca bilgileri
GUILD_TILE_MEMBER	Üyeler
GUILD_TILE_SKILL	Lonca becerisi
GUILD_WAR_LIMIT_30MIN	Zaman: 30 dakika
GUILD_WAR_REWARD_POTION	Ödül: Yenen iksir kazanacak
GUILD_WAR_USE_BATTLE_MAP	Yer: Lonca Savaþý Arenasý
GUILD_WAR_USE_NORMAL_MAP	Yer: Normal Harita
GUILD_WAR_WIN_CHECK_SCORE	Savaþý en yüksek skor kazanýr
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Düþmanýn bayraðýný ele geçir
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	ve kendi üssüne götür.
GUILD_WAR_WIN_WIPE_OUT_GUILD	Kazanmak için tüm düþmanlarý öldür.
GUILD_WITHDRAW	Geri çekil.
GUILD_YOU_DO_NOT_JOIN	Bir Loncaya üye deðilsin.
HALLOWEEN_EVENT	Cadýlar Bayramý Etkinliði
HORSE_HEALTH0	Ölü
HORSE_HEALTH1	Aç kalmýþ halde
HORSE_HEALTH2	Acýkmýþ halde
HORSE_HEALTH3	Tok
HORSE_LEVEL1	Normal at
HORSE_LEVEL2	Savaþ Atý
HORSE_LEVEL3	Asker at
HOUR	sa.
HOW_MANY_ITEM_DO_YOU_DROP1	%s atmak istiyor musun?
HOW_MANY_ITEM_DO_YOU_DROP2	%s %d atmak istiyor musun?
HYDRADUNGEON	Gemi Savunmasý
MELEYDUNGEON	Meley'in Ýni
INPUT_MATRIX_CARD_NUMBER	Matrix Kart Numaraný gir.
INPUT_MATRIX_CARD_TITLE	Matrix Kart
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Hesap ayarlarýnýzdaki silme-kodunu buraya giriniz.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Karakteri sil
INPUT_WINDOW_TEXT	Lütfen baþka bir ad girin
INTRO_SELECT_LEVEL	Lv. %d
INVENTORY_REALLY_USE_ITEM	Eþyayý bu nesneye uygula %s?
ITEMSHOP_3RDSHOP_COINS	%d AP
ITEMSHOP_3RDSHOP_NAME	Diðer maðaza
ITEMSHOP_ACCEPT_CHANGE_PRICE	Tamam
ITEMSHOP_ADD_DISCOUNT_DISCOUNT_TITLE	Ýndirim:
ITEMSHOP_ADD_DISCOUNT_HOUR	saat
ITEMSHOP_ADD_DISCOUNT_MINUTE	dk
ITEMSHOP_ADD_DISCOUNT_SECOND	sn
ITEMSHOP_ADD_DISCOUNT_TITLE1	Tüm kategorilere indirim uygulayýn:
ITEMSHOP_ADD_ITEM_ACCEPT_TEXT_BUTTON	Kabul
ITEMSHOP_ADD_ITEM_BONUS_TITLE	Bonuslarý
ITEMSHOP_ADD_ITEM_CATEGORY_TITLE	Kategori:
ITEMSHOP_ADD_ITEM_PRICE_TITLE	Fiyat:
ITEMSHOP_ADD_ITEM_RESET_TEXT_BUTTON	Sýfýrla
ITEMSHOP_ADD_ITEM_STONE_TITLE	Taþ
ITEMSHOP_ADD_ITEM_VALUE_TITLE	Deðer
ITEMSHOP_ADD_ITEM_VNUM_TITLE	Vnum:
ITEMSHOP_ADMIN_PANEL_ADD_DISCOUNTS_TEXT_BUTTON	Ýndirimler ekleyin
ITEMSHOP_ADMIN_PANEL_ADD_DISCOUNTS_TOOLTIP_BUTTON	Add Discounts with Time to an item.	
ITEMSHOP_ADMIN_PANEL_ADD_ITEMS_TEXT_BUTTON	Add items	
ITEMSHOP_ADMIN_PANEL_ADD_ITEMS_TOOLTIP_BUTTON	Add new items to the shop.	
ITEMSHOP_ADMIN_PANEL_NAME	GM Zone	
ITEMSHOP_ADMIN_PANEL_RETURN_TOOLTIP_BUTTON	Return	
ITEMSHOP_ADMIN_PANEL_TITLE	Administration	
ITEMSHOP_BEST_WHEEL_PRIZES	Best Prizes	
ITEMSHOP_BUY	Satýn Al
ITEMSHOP_BUY_BUTTON	Satýn Al %d (%s)
ITEMSHOP_BUY_COIN	ANA SAYFA
ITEMSHOP_BUY_ITEM_WITHOUT_AMOUNT_QUESTION	%s %d %s karþýlýðýnda satýn almak istiyor musunuz?
ITEMSHOP_BUY_ITEM_WITH_AMOUNT_QUESTION	%d %s karþýlýðýnda %sx %s satýn almak istiyor musunuz?
ITEMSHOP_BUY_TEXT	|cffF7BD48%s|r satýn almak istiyor musunuz?
ITEMSHOP_BUY_TEXT_COUNT	|cffF7BD48%sx%d|r satýn almak istiyor musunuz?
ITEMSHOP_CANCEL_CHANGE_PRICE	Iptal
ITEMSHOP_CATEGORY_DISCOUNT_QUESTION	Bu %dh, %dm ve %ds kategorisinde %d%% indirim uygulamak istediðinizden emin misiniz?
ITEMSHOP_CHANGE_PRICE_QUESTION	Bu öðenin fiyatýný deðiþtirmek istediðinizden emin misiniz?
ITEMSHOP_CHANGE_PRICE_TOOLTIP_BUTTON	Fiyatý deðiþtir
ITEMSHOP_COINS	Madeni Paralar:
ITEMSHOP_COUNT	Miktar
ITEMSHOP_DATE	Tarih: %s
ITEMSHOP_DELETE_ITEM_QUESTION	Bu öðeyi silmek istediðinizden emin misiniz?
ITEMSHOP_DELETE_ITEM_TOOLTIP_BUTTON	Öðeyi Sil
ITEMSHOP_DISCOUNT_WEEK	Haftanýn indirimleri
ITEMSHOP_DRAGONCOINT	Ejderha Paralarý
ITEMSHOP_DRSSHOP_COIN	VC'leri
ITEMSHOP_DRSSHOP_NAME	-
ITEMSHOP_HOME_NAME	Ana Sayfasý
ITEMSHOP_HOTITEMS	FORTUNE WHEEL	
ITEMSHOP_HOUR	Saat: %s
ITEMSHOP_HOURS_MINUTES_SECONDS	%dh %dm %ds
ITEMSHOP_ISHOP_COIN	MD'leri
ITEMSHOP_ISHOP_NAME	Maðazasý
ITEMSHOP_ITEMSEARCH_DEFAULT_TEXT	Itemshop'ta ara...
ITEMSHOP_ITEM_AMOUNT	u.
ITEMSHOP_ITEM_DISCOUNT_QUESTION	%dh, %dm ve %ds için %s için %d%% indirim uygulamak istediðinizden emin misiniz?
ITEMSHOP_LAST_COUNT	Kalan miktar: %d
ITEMSHOP_LAST_DISCOUNTS	Son indirimler
ITEMSHOP_LOAD	Veri yükleniyor...
ITEMSHOP_LOGS_NAME	Günlükleri
ITEMSHOP_MAIN_BUTTON	Ana Sayfa
ITEMSHOP_MOST_BOUGHT_ITEMS	En çok satýn alýnan ürünler
ITEMSHOP_NEW_PRICE_TITLE	Yeni Fiyat:
ITEMSHOP_OFFERS	|Eishop/offer|e TEKLÝFLER
ITEMSHOP_PRICE	Fiyat
ITEMSHOP_PRICE_NEW	|Eishop/mini_coin|e %s Coins
ITEMSHOP_PRICE_ONLY_TEXT	%s Coins
ITEMSHOP_PRICE_TITLE_BOX	Fiyat: %d %s
ITEMSHOP_PRICE_WITH_DISCOUNT	|Eishop/mini_coin|e |cffFF7B7B%s Coins (%d%%)
ITEMSHOP_PURCHASES	SATIN ALMALAR
ITEMSHOP_SEARCH_TEXT	Ara...
ITEMSHOP_SEARCH_TOOLTIP_BUTTON	Ara
ITEMSHOP_SHOP_BUTTON	Eþya Maðazasý
ITEMSHOP_SHOP_TITLE	Maðazasý:
ITEMSHOP_TITLE_NAME	Eþya Maðazasý
ITEMSHOP_TITLE_PANEL	Eþya Maðazasý
ITEMSHOP_TOP_SELL	En Çok Satan Ürünler
ITEMSHOP_UPDATE_COINS_TOOLTIP_BUTTON	Paralarý Güncelle
ITEMSHOP_WHEEL	Buy Coins	
ITEMSHOP_WHEEL_BACK_ISHOP	Itemshop'a Geri Dön
ITEMSHOP_WHEEL_COIN_TEXT	|Eishop/coin|e Fiyat: 10 Coins
ITEMSHOP_WHEEL_COIN_TEXT_INFO	Döndürmek için |cffF7BD48Coins|r kullanýyorsunuz.
ITEMSHOP_WHEEL_NAME	Kader Çarký
ITEMSHOP_WHEEL_PRICE1	FÝYAT
ITEMSHOP_WHEEL_PRICE2	10 coins	
ITEMSHOP_WHEEL_PURCHASE	|Eishop/wheel_icon|e |cffF7BD48Wheel of Fortune|r
ITEMSHOP_WHEEL_SKIP_ANIMATION	Animasyonu Atla
ITEMSHOP_WHEEL_TICKET_TEXT	|Eishop/wheel_ticket|e x1 Simgesi
ITEMSHOP_WHEEL_TICKET_TEXT_INFO	Onu döndürmek için |cffF7BD48Wheel Ticket|r kullanýyorsunuz.
ITEM_DROP_EVENT	Eþya Düþürme Dropu: %d%%
JANUARY	Ocak
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Yok
JOB_ASSASSIN1	Yakýn Ninja
JOB_ASSASSIN2	Uzak Ninja
JOB_SHAMAN	Þaman
JOB_SHAMAN0	Yok
JOB_SHAMAN1	Ejderha Þamaný
JOB_SHAMAN2	Þifacý Þaman
JOB_SURA	Sura
JOB_SURA0	Yok
JOB_SURA1	Silah Surasý
JOB_SURA2	Büyü Surasý
JOB_WARRIOR	Savaþçý
JOB_WARRIOR0	Yok
JOB_WARRIOR1	Bedensel Savaþçý
JOB_WARRIOR2	Zihinsel Savaþçý
JOB_WOLFMAN	Lycan
JOB_WOLFMAN0	Amatör Lycan
JOB_WOLFMAN1	Ýçgüdü
JOB_WOLFMAN2	N.A.
JULY	Temmuz
JUNE	Haziran
KEY_A	A	
KEY_D	D	
KEY_E	AND	
KEY_L	L	
KEY_N	N	
KEY_S	S	
KEY_V	V	
LEFT_TIME	Kalan Süre
LOGIN_CONNECT_FAILURE	Sunucuya baðlanýrken hata
LOGIN_CONNECT_SUCCESS	Sunucuya baðlandýn.
LOGIN_CONNETING	Lütfen bekle. Sunucuya baðlanýyorsun.
LOGIN_FAILURE_ALREAY	Hesabýn zaten baðlý.
LOGIN_FAILURE_BE_SAME_KEY	Kayýt problemi
LOGIN_FAILURE_BLOCK_ID	Bu hesap engellendi.
LOGIN_FAILURE_BLOCK_LOGIN	Kapalý sunucu: Lütfen baþka server seç!
LOGIN_FAILURE_NOBILL	Bu hesabýn oyun süresi yok.
LOGIN_FAILURE_NOT_AVAIL	Bu hesap kullanýlamýyor.
LOGIN_FAILURE_NOT_EXIST_ID	Hesap ismi veya þifre yanlýþ.
LOGIN_FAILURE_REPAIR_ID	Bu hesap için þu an nesneler yenileniyor.
LOGIN_FAILURE_SHUTDOWN	Sunucu henüz açýlmadý.
LOGIN_FAILURE_TOO_MANY_USER	Çok fazla kullanýcý baðlý olduðu için baðlanamazsýnýz.
LOGIN_FAILURE_UNKNOWN	Bilinmeyen bir nedenle kaydolamadýnýz.
LOGIN_FAILURE_WEB_BLOCK	Web sitesine eriþiminiz engellendi. Lütfen E-Postanýzý kontrol ediniz.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Yanlýþ numara girdiniz.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	3 kere yanlýþ numara girdiniz. Baðlantýnýz kesildi.
LOGIN_FAILURE_WRONG_PASSWORD	Hesap ismi veya þifre yanlýþ.
LOGIN_INPUT_ID	ID nizi yazýn.
LOGIN_INPUT_PASSWORD	Þifreyi gir.
LOGIN_PROCESSING	Giriþ iþlemi yapýlýyor...
MALL_CANNOT_INSERT	Nesne için yeriniz yok.
MALL_PASSWORD_TITLE	Þifre
MAP_A1	Yongan Bölgesi
MAP_A2	Seungryong Vadisi
MAP_A3	Yayang Bölgesi
MAP_AG	Jungrang
MAP_B1	Joan Bölgesi
MAP_B2	Imji Vadisi
MAP_B3	Bokjung Bölgesi
MAP_BAY	Nefrit Körfezi
MAP_BG	Waryong
MAP_C1	Pyungmoo Bölgesi
MAP_C2	Bangsan Vadisi
MAP_C3	Bakra Bölgesi
MAP_CAPE	Ejderha Ateþi Burnu
MAP_CG	Imha
MAP_DAWN	Gautama Uçurumu
MAP_DESERT	Yongbi Çölü
MAP_FLAME	Doyyumhwan
MAP_NUSLUCK	Devler Diyarý
MAP_SKELTOWER	Gumsan Kulesi
MAP_SNOW	Sohan Daðý
MAP_SPIDER	Kuahlo Dong
MAP_TEMPLE	Hwang Tapýnaðý
MAP_THUNDER	Yýldýrým Daðlarý
MAP_TREE	Lungsam
MAP_TRENT	Hayalet Ormaný
MAP_TRENT02	Kýrmýzý Orman
MAP_WL	Yýlan Vadisi
MARCH	Mart
MAY	Mayýs
MESSENGER_ADD_FRIEND	Arkadaþ ekle
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s seni arkadaþ olarak ekledi.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Kabul et?
MESSENGER_DO_YOU_DELETE	Sil?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Cep telefonu numaranýzý silmek istiyor musunuz?
MESSENGER_EMPTY_LIST	Boþ
MESSENGER_FAMILY	Aile
MESSENGER_FRIEND	Arkadaþlar
MESSENGER_GUILD	Lonca
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Cep telefonunuza gönderilen onay numarasýný giriniz.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Onaylama kodunu gir.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Text mesajlarýnýn gönderilmesi için cep telefonu numaranýzý giriniz.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Numarayý þimdi girmek istiyor musun?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Cep telefonu numaranýzý giriniz.
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Mesaj gönder.
MINIMAP	Küçük Haritayý aç
MINIMAP_BOSS_TOOLTIP	[Yeniden Doðma: %s]
MINIMAP_CANNOT_SEE	Küçük Haritayi göremezsiniz.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Küçük Harita görüntülenemiyor.
MINIMAP_DEC_SCALE	Uzaklaþtýr
MINIMAP_INC_SCALE	Yakýnlaþtýr
MINIMAP_OBSERVER_COUNT	%d izleyici
MINIMAP_SHOW_AREAMAP	Genel Görünüm Haritasý'ný aç
MINUTE	dk.
MISSION_BOSS	Boss Avcýsý
MISSION_BOSS_DESC	Görevi tamamlamak için\n gereken tüm patronlarý öldürün
MISSION_BOSS_SUB	Patronu
MISSION_CATCH_FISH	Balýkçý
MISSION_CATCH_FISH_DESC	Görevi tamamlamak için\n gerekli sayýda balýðý yakalayýn.
MISSION_CATCH_FISH_SUB	Balýk
MISSION_COMPLETED	Tamamlandý:
MISSION_COMPLETED_COUNT	Görev Tamamlandý: %d
MISSION_CRAFT_GAYA	Zanaat Gaya
MISSION_CRAFT_GAYA_DESC	Gerekli Gaya öðesini üretin
MISSION_CRAFT_ITEM	Eþyalarý Yükselt
MISSION_CRAFT_ITEM_DESC	Görevi tamamlamak için\n bir eþyanýn seviyesini yükseltin
MISSION_CRAFT_ITEM_SUB	Üretilecek öðe:
MISSION_DATE_TEXT	Ad: %s %d
MISSION_DESTROY_ITEM	Öðeleri yok et
MISSION_DESTROY_ITEM_DESC	Görevi tamamlamak için\n gereken öðeyi yok edin.
MISSION_DUNGEON	Zindanlarý Tamamla
MISSION_DUNGEON_DESC	Görevi tamamlamak için\n gerekli zindaný tamamlayýn.
MISSION_DUNGEON_SUB	Zindaný
MISSION_EARN_MONEY	Altýn Toplayýcý
MISSION_EARN_MONEY_DESC	Görevi tamamlamak için gerekli olan tüm yang\n ý almak için çetelerden yang çal.
MISSION_FEED_PET	Evcil hayvanýnýzý besleyin
MISSION_FEED_PET_DESC	Evcil hayvanýnýzý besleyin ki ölmesin
MISSION_KILLPLAYER	Oyuncularý Öldür
MISSION_KILLPLAYER_DESC	Görevi tamamlamak için oyuncularý öldürün
MISSION_LEFT_TIME	Zaman: %s
MISSION_LEVEL_UP	Seviye Atlama
MISSION_LEVEL_UP_DESC	Seviyenizi yükselterek seviyenizi yükseltin.
MISSION_MONSTER	Canavarlarý Öldür
MISSION_MONSTER_DESC	Görevi mümkün olan en kýsa sürede tamamlamak için\n mümkün olduðunca çok sayýda gerekli canavarý öldürün.
MISSION_MONSTER_SUB	Canavarý
MISSION_MOUNT_TIME	Süvari
MISSION_MOUNT_TIME_DESC	Gerekli süre boyunca bir Bineðe Binin.
MISSION_NONE	Bilinmeyen görev
MISSION_OPEN_OFFLINESHOP	Çevrimdýþý Maðaza Aç
MISSION_OPEN_OFFLINESHOP_DESC	Çevrimdýþý bir maðaza açýn
MISSION_PLAYTIME	Aktif Oyuncu
MISSION_PLAYTIME_DESC	Görevi tamamlamak için\n gereken dakika sayýsýný toplayýn.
MISSION_REFINE_ALCHEMY	Simyanýzý geliþtirin
MISSION_REFINE_ALCHEMY_DESC	Görevi tamamlamak için simyanýzý geliþtirin
MISSION_REFINE_ITEM	Bir öðeyi geliþtir
MISSION_REFINE_ITEM_DESC	Gerekli öðeyi geliþtirin
MISSION_REFINE_ITEM_SUB	Nesnesi
MISSION_REMAINING	Miktar:
MISSION_SASH	Stoklarý
MISSION_SASH_DESC	Gerekli tüm stoklarý üretin
MISSION_SELL_ITEM	Eþya sat
MISSION_SELL_ITEM_DESC	Gerekli öðeyi sat
MISSION_SHOUT_CHAT	Küresel sohbeti kullan
MISSION_SHOUT_CHAT_DESC	Görevi tamamlamak için\n küresel sohbet yoluyla diðer oyuncularla sohbet edin.
MISSION_SPEND_MONEY	Satýcý
MISSION_SPEND_MONEY_DESC	Görevi tamamlamak için bir NPC'de\n gereken yang'ý harcayýn.
MISSION_SPRITE_STONE	Taþ ekle
MISSION_SPRITE_STONE_DESC	Nesnelere taþ ekler
MISSION_STATUS_ACTIVE	|cff00ff00Status: Etkin
MISSION_STATUS_NOT_ACTIVE	|cff00ff00Status: Etkinleþtirilmedi!
MISSION_STONE	Metin Yok Edici
MISSION_STONE_DESC	Görevi tamamlamak için\n gereken metite sayýsýný yok edin.
MISSION_SUB_ALL	Herhangi
MISSION_TASK_COUNT	Toplam görev: %d
MISSION_USE_EMOTICON	Duygularý kullanýn
MISSION_USE_EMOTICON_DESC	Görevi tamamlamak için duygularý kullanýn
MISSION_WHISPER	PM Gönder
MISSION_WHISPER_DESC	Diðer oyunculara MP gönder
MONETARY_COMBAT_ZONE	Puaný
MONETARY_UNIT0	Yang
MONEY_INPUT_DIALOG_SELLPRICE	Satýþ fiyatý:
MOONLIGHT_EVENT	Ayýþýðý Sandýklarý
MOUNT_DOYUMHWAN_MAP_NAME	Doyumhwan
MOUNT_SOHAN_MAP_NAME	Sohan Daðý
MOUNT_YONGBI_MAP_NAME	Jongbi Çölü
MOVE_CHANNEL_CANCEL	Ýptal
MOVE_CHANNEL_SELECT	Tamam
MOVE_CHANNEL_TITLE	Kanal seçimi
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Özel depo açtýðýn sürece nesneleri baþka yere taþýyamazsýn.
MULTI_FARM_ACTIVE_CHAT	|cff00A8EB[Çoklu Çiftlik]|r |cffFFFFFFArtýk bu hesapla çiftçilik yapabilirsiniz!|r
MULTI_FARM_ACTIVE_TEXT	Çiftçiliði etkinleþtirmek istiyor musunuz?
MULTI_FARM_DEACTIVE_CHAT	|cff00A8EB[Çoklu Çiftlik]|r |cffFFFFFFArtýk bu hesapla çiftçilik yapamayacaksýnýz!|r
MULTI_FARM_DEACTIVE_TEXT	Çiftçiliði devre dýþý býrakmak istiyor musunuz?
MULTI_FARM_PREMIUM_EFFECT	Karakterleri Multi-Farm +%d yükselt	SA
MULTI_FARM_TEXT	|Eemoji/key_lclick|eÇoklu Çiftligi ON/OFF için tiklayin.	
MULTI_FARM_TITLE	Çoklu Çiftliði Engelle
MUSIC_EMPTY_MUSIC_LIST	Fon müziði yok
MUSIC_METIN2_DEFAULT_THEMA	Vidra II Standart Müziði
MUSIC_NOT_SELECT_MUSIC	Hiç Müzik dosyasý seçilmedi.
NAME_INPUT_PRICE	Fiyat: 100 bin
NAME_INPUT_TEXT	Yeniden Adlandýr
NAME_PET_INPUT_TEXT	Evcil hayvanýnýzýn adý
NEEFD_REST	Önce dinlenmelisin.
NEW_AFFECT_DECORATION	Kaþmir Paketi	SNA
NOBONUS	[Bonus Yok]
NONE_AFFECT	Etkisi Yok
NORMAL_EVENT_TIME	Baþlangýç: %s Varýþ: %s
NOT_YET_SUPPORT	Henüz desteklenmiyor
NOVEMBER	Kasým
NPC_SEARCH	NPC Ara
NPC_SEARCH_TEXT	Aþaðýdaki haritalarda yeniden doðar:
OCTOBER	Ekim
OFFLINESHOP_ACCEPT	Tamam
OFFLINESHOP_ADD_TIME_DIALOG	12 saat artýrýn. Maliyet: %s
OFFLINESHOP_BUY_DIALOG	Ürünü satýn al
OFFLINESHOP_CANCEL	Ýptal
OFFLINESHOP_CANNOT_SELL_ITEM	Bu öðe satý
OFFLINESHOP_CLOSE	Maðazayý kapat/Günlükleri temizle
OFFLINESHOP_CLOSE_DIALOG	Çevrimdýþý maðazanýzý kapatmak istiyor musunuz?
OFFLINESHOP_GET_BACK_ITEMS	Öðeleri geri almak istiyor musunuz?
OFFLINESHOP_INPUT_PRICE_DIALOG_TITLE	Fiyat
OFFLINESHOP_LOGS	Satýþ
OFFLINESHOP_LOG_TEXT_COUNT	|cffe5d500%s|r tarih |cffe5d500x%d%s[%s] Yang|r |cffe5d500%s|r'den satýn alma
OFFLINESHOP_LOG_TEXT	|cffe5d500%s|r tarih |cffe5d500%s[%sYang]|r öðe alýmý. |cffe5d500%s|r
OFFLINESHOP_MESSAGE	%s yang için %s sattýnýz
OFFLINESHOP_MESSAGE_WITH_COUNT	%s yang için x%d%s sattýnýz
OFFLINESHOP_REMOVE_LOGS	Günlükleri kaldýrmak istiyor musunuz?
OFFLINESHOP_SEEN	Görüntüleme: %d Toplam: %d
OFFLINE_SHOP_ITEM_SOLD	Ürün satýldý!
OFFLINE_SHOP_ITEM_SOLD2	[Satýn alan: %s]
OFFLINE_SHOP_TITLE	Maðazasý
OK	Tamam
ONLY_CHANNEL	Yalnýzca Kanalda %d
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Herhangi bir Loncada deðilken Lonca Modunu aktif edemezsiniz.
OPTION_PVPMODE_NOT_SUPPORT	PvP Modunda bu biçimi seçemezsiniz.
OPTION_PVPMODE_PROTECT	PvP-Modu'nu deðiþtirmek için ulaþmýþ olman gereken asgari seviye: %d.
OPTION_SALESTEXT_RANGE	Maðaza adlarý yelpazesi
PARTY_BONUS_ATTACKER	Saldýrý Deðeri: +%d	SA
PARTY_BONUS_BERSERKER	Saldýrý Hýzý: +%d	SA
PARTY_BONUS_BUFFER	Beceri Süresi: +%d	SA
PARTY_BONUS_DEFENDER	Savunma +%d%%	SA
PARTY_BONUS_EXP	EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Öldürme baþýna HP yükleme +%d%%	SA
PARTY_BONUS_TANKER	Max. HP: +%d	SA
PARTY_BREAK_UP	Grubu sil
PARTY_DO_YOU_ACCEPT	 grubunuza katýlmak istiyor.
PARTY_DO_YOU_JOIN	 seni bir gruba davet etti. Kabul et?
PARTY_EXP_DISTRIBUTION_MODE	EXP paylaþýmý
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	seviyeye baðlý
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	Yüksek seviyeli grup üyeleri daha fazla EXP kazanýyor.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	eþit
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Tüm grup üyeleri ayný EXP i alýr.
PARTY_HEAL_ALL_MEMBER	Her þeyi yükle.
PARTY_INCREASE_AREA_150	Grup kuruluþ faktör aralýðý 1,5.	SNA
PARTY_INCREASE_AREA_200	Grup kuruluþ faktör aralýðý 2.	SNA
PARTY_LEAVE	Grubu terket
PARTY_MEMBER_OFFLINE	[Çevrimdýþý]
PARTY_RECALL_MEMBER	Grup üyesini çaðýr.
PARTY_REQUEST_DENIED	Baþvurun reddedildi.
PARTY_SET_ATTACKER	Saldýrý gücü olarak belirle
PARTY_SET_BERSERKER	Berserker olarak belirle.
PARTY_SET_BUFFER	Tampon olarak belirle.
PARTY_SET_DEFENDER	Savunma gücü olarak belirle.
PARTY_SET_NORMAL	Geri Çekilme Ayarlarý.
PARTY_SET_SKILL_MASTER	Beceri Master i olarak ayarla.
PARTY_SET_TANKER	Yakýn Dövüþ Savasçýsý olarak belirle.
PARTY_SKILL_ATTACKER	Saldýrý gücü olarak temel saldýrý deðeri +%.0f
PARTY_SKILL_BERSERKER	Berserker saldýrý hýzý +%.0f
PARTY_SKILL_BUFFER	Tampon Beceri Süresi +%.0f
PARTY_SKILL_DEFENDER	Savunmacý olarak savunma +%%%.0f
PARTY_SKILL_SKILL_MASTER	Beceri ustasý olarak HP geri kazanýmý +%%%.0f
PARTY_SKILL_TANKER	Max. HP Yakýn Dövüþ Saldýrý Gücü +%.0f
PARTY_SKILL_WARP	Grup üyelerini çaðýrmak mümkün.
PASSWORD_TITLE	Depo Þifresi
PET_ADD_SLOT_QUESTION	Bu yuvanýn kilidini açmak istiyor musunuz?
PET_DIALOG	Bunu evcil hayvanýnýzýn mevcut seviyesi ile kullanamazsýnýz! Gerekli seviye: %d.
PET_GUI_AGE	Geliþ
PET_GUI_BONUSES	Pasif Bonuslarý
PET_GUI_BRAVE	Cesur
PET_GUI_DURATION	Kalan kullaným süresi
PET_GUI_EVOLVE_BTN	Geliþ
PET_GUI_EXPERIENCE	Deneyimi
PET_GUI_HERO	Kahraman
PET_GUI_PETSKILL	Becerileri
PET_GUI_TITLE	Evcil hayvanýnýzla ilgili bilgiler
PET_GUI_WILD	Vahþi
PET_GUI_YOUNG	Genç
PET_PROTEIN_QUESTION_TEXT	Evcil hayvanýnýza hayat katmak mý istiyorsunuz?
PET_REMOVE_QUESTION_TEXT	Tüm becerileri mi unuttunuz?
PET_REMOVE_SLOT_QUESTION	Beceriyi (%s) kaldýrmak istiyor musunuz?
PET_SKIL_1	Metinler Kýlavuzu
PET_SKIL_2	Canavar Kýlavuzu
PET_SKIL_3	Patron Kýlavuzu
PET_SKIL_4	Mukavemet El Kitabý
PET_SKIL_5	Zeka Kýlavuzu
PET_SKIL_6	Beceri Kýlavuzu
PET_SKIL_7	Yaþam Kýlavuzu
PET_SKIL_8	Hayvan El Kitabý
PET_SKIL_9	Ork Kýlavuzu
PET_SKIL_10	Ezoterik El Kitabý
PET_SKIL_11	Undead Kýlavuzu
PET_SKIL_12	Þeytan El Kitabý
PET_SKIL_13	Deneyim Kýlavuzu
PET_SKIL_14	Býrakma Kýlavuzu
PET_SKIL_15	Yang'ýn El Kitabý
PET_SKIL_16	Ýnsan M.Kýlavuzu
PET_SKIL_17	El Kitabý Res M.Ýnsan
PET_SKIL_18	Manuel Hasar Becerisi
PET_SKIL_19	Manuel Res Hasar Becerisi
PET_SKIL_20	Stoklama Kýlavuzu
PET_SKIL_21	Manuel Ortalama Res.
PET_SKIL_22	Manuel Kritik Karþýtý
PET_SKIL_23	Manuel Penetrasyon Önleme
PET_SKIL_24	Manuel Hýz Hecelemek
PET_SKIL_25	Blok Kýlavuzu
PET_SKIL_26	Manuel Zehir Çöz.
PET_SKIL_27	Buz Kýlavuzu
PET_SKIL_28	Zemin Kýlavuzu
