ACCEPT	A accepta
AUTOMATIC_PCIK_UP_PETNMOUNT	Pet/Mount
AUTOMATIC_PCIK_UP_SASH	Esarfa
AUTOMATIC_PCIK_UP_TALISMAN	Talismane
AUTOMATIC_PCIK_UP_BOOKS	Carti
AUTOMATIC_PCIK_UP_STONES	Pietre
AUTOMATIC_PCIK_UP_YANG	Yang
AUTOMATIC_PCIK_UP_CHESTS	Cufere
AUTOMATIC_PCIK_UP_SHOES	Papuci
AUTOMATIC_PCIK_UP_BELT	Curele
AUTOMATIC_PICK_UP_FILTER_RARITY	Filtreaza dupa Raritate
AUTOMATIC_RARITY_NORMAL	Normal
AUTOMATIC_RARITY_UNCOMMUN	Uncommun
AUTOMATIC_RARITY_RARE	Rare
AUTOMATIC_RARITY_EPIC	Epic
AUTOMATIC_RARITY_RELIC	Relic
AUTOMATIC_RARITY_LEGENDARY	Legendary
AUTOMATIC_RARITY_INFO	Alege itemul care nu vrei sa-l colectezi
AUTOMATIC_PICKUP_TEXT_0	PREMIUM AUTO PICK UP
AUTOMATIC_PICKUP_TEXT_1	|cFFFF4C4C NU ESTE ACTIV
AUTOMATIC_PICKUP_TEXT_2	|cFF00CB45 ACTIV %s
AUTOMATIC_PICKUP_TEXT_3	ActivatI Auto-Pick pentru a obtine urmatoarele beneficii:
AUTOMATIC_PICKUP_TEXT_4	- Pickup automat (nu aveti nevoie sa utilizati Z)
AUTOMATIC_PICKUP_TEXT_5	- Rang mai mare pentru a colecta obiectele.
OPTION_OBJECT_DISTANCE	Distanta de vizualizare de obiecte
TASKBAR_MONEY_EXPAND	Yang
MINI_GAME_RUMI_DISCARD_TEXT	Modul Sigur
MINI_GAME_RUMI_EXIT	Sfarsit
MINI_GAME_RUMI_LBUTTON_DESC	Stanga mouse sa adaugi card
MINI_GAME_RUMI_RBUTTON_DESC	Dreapta mouse sa renunti la card
MINI_GAME_RUMI_SCORE	Scor
MINI_GAME_RUMI_START_TEXT	Start
MINI_GAME_RUMI_TITLE	Jocul Okey cu Carduri
BANNER_CATCHKING_BUTTON	Prinde Regele
MINI_GAME_CATCHKING_CHALLENGE	Pariu
MINI_GAME_CATCHKING_HELP_TEXT	Reguli
MINI_GAME_CATCHKING_HIGH_SCORE	Scor Mare
MINI_GAME_CATCHKING_MYNUMBER	Cartile Mele
MINI_GAME_CATCHKING_POPUP_CONFIRM	Arata/Ascunde fereastra
MINI_GAME_CATCHKING_RETRY	Joaca din Nou
MINI_GAME_CATCHKING_REWARD	Recompensa Ta
MINI_GAME_CATCHKING_SCORE	Puncte
MINI_GAME_CATCHKING_SELECTION_NUMBER	Carti Descoperite
MINI_GAME_CATCHKING_START_TEXT	Start
MINI_GAME_CATCHKING_TITLE	Prinde Regele
MINI_GAME_WINDOW_TITLE	Cath The King
MINI_GAME_MY_CARD	Cartea mea
MINI_GAME_MY_CARDS	Cartea descoperita
MINI_GAME_POINTS	Puncte
MINI_GAME_BIG_POINTS	Top Puncte
MINI_GAME_POPUP	Show/Hide Pop-Up
RANKING_TITLE	Reward Info
RANKING_RANK	Pozitie
RANKING_NAME	Nume
RANKING_POINTS	Statistici
RANKING_CAT0	Duele câstigate
RANKING_CAT1	Duele pierdute
RANKING_CAT2	Ucideri 
RANKING_CAT3	Daune medii vs player
RANKING_CAT4	Daune abilitate vs player
RANKING_CAT5	Metine distruse
RANKING_CAT6	Monstrii omorâti
RANKING_CAT7	Sefi omorâti
RANKING_CAT8	Daune medii vs sefi
RANKING_CAT9	Daune abilitate vs sefi
RANKING_CAT10	Yang acumulat
RANKING_CAT11	Gaya acumulat
RANKING_CAT12	Vrajeste obiectul folosite
RANKING_CAT13	Vrajeste talismane folosite
RANKING_CAT14	Pesti pescuiti
RANKING_CAT15	Timp în joc (min)
RANKING_CAT16	Dungeon-uri completate
RANKING_CAT17	Cufere deschise
LOGIN_RECOVER	> Parola/ Recuperare ID
LOGIN_CONDITIONS	> Alaturati-va discordului nostru.
LOGIN_CREATE	> Creeaza cont nou
LOGIN_ACCOUNT_USER	Nume utilizator
LOGIN_ACCOUNT_PASSWORD	Parolã utilizator
LOGIN_PLAY	Play
LOGIN_EXIT	Exit
LOGIN_INTERFACE_NOSAVED_ACC	Niciun cont nu este salvat în acest slot!
LOGIN_INTERFACE_FREE_SPACE	Slot liber
LOGIN_INTERFACE_PASTE_ID	Trebuie sã introduci numele de utilizator!
LOGIN_INTERFACE_PASTE_PW	Trebuie sã introduci parola!
LOGIN_INTERFACE_NO_SLOT_FREE	Nu existã slot liber de salvat!
LOGIN_INTERFACE_SAVED	Contul a fost salvat cu succes!
LOGIN_INTERFACE_DELETED	ªters.
LOGIN_INTERFACE_ALREADY_EMPTY	este deja gol!
NEW_EXCHANGE_YOU	You
SELECT_ORIGIN_STAT	Origin
SELECT_SUNGMA_STAT	Sung Ma's Will
