AFF_LOVE_POINT	Punto amore: %d%%
GUILD_TILE_GRADE	Amministra diritti
GUILD_TILE_INFO	Informazioni della Gilda
GUILD_TILE_MEMBER	Membri
GUILD_TILE_SKILL	Abilità della Gilda
GUILD_WAR_LIMIT_30MIN	Tempo: 30 minuti
GUILD_WAR_REWARD_POTION	Ricompensa: Il vincitore riceve pozioni.
GUILD_WAR_USE_BATTLE_MAP	Usa il campo di battaglia della Gilda	
GUILD_WAR_USE_NORMAL_MAP	Luogo: mappa normale	
GUILD_WAR_WIN_CHECK_SCORE	Chi ha il risultato maggiore vince la guerra.	
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Conquista la bandiera dell'avversario	
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	e portala alla tua base.	
GUILD_WAR_WIN_WIPE_OUT_GUILD	Per vincere distruggi tutti i tuoi avversari.	
GUILD_WITHDRAW	Ritirata	
GUILD_YOU_DO_NOT_JOIN	Non appartieni a nessuna Gilda	
HALLOWEEN_EVENT	Evento Halloween	
HORSE_HEALTH0	Morto
HORSE_HEALTH1	Denutrito
HORSE_HEALTH2	Affamato
HORSE_HEALTH3	Sazio
HORSE_LEVEL1	Cavallo normale
HORSE_LEVEL2	Cavallo da Battaglia
HORSE_LEVEL3	Cavallo militare
HOUR	Hours	
HOW_MANY_ITEM_DO_YOU_DROP1	Desideri lasciar cadere %s ?
HOW_MANY_ITEM_DO_YOU_DROP2	Desideri lasciar cadere %s %d ?
HYDRADUNGEON	Difesa della nave	
MELEYDUNGEON	La tana di Meley
INPUT_MATRIX_CARD_NUMBER	Inserire numer omatrix della carta.	
INPUT_MATRIX_CARD_TITLE	Matrix della carta	
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Inserisci qui il codice che hai inserito nell'iscrizione.	
INPUT_PRIVATE_CODE_DIALOG_TITLE	Cancella personaggio	
INPUT_WINDOW_TEXT	Perfavore inserisci un altro nome	
INTRO_SELECT_LEVEL	Lv. %d	
INVENTORY_REALLY_USE_ITEM	Vuoi usare l'item su questo oggetto %s?
ITEMSHOP_3RDSHOP_COIN	AP's	
ITEMSHOP_3RDSHOP_COINS	%d AP's	
ITEMSHOP_3RDSHOP_NAME	Altro Negozio	
ITEMSHOP_ACCEPT_CHANGE_PRICE	Ok	
ITEMSHOP_ADD_DISCOUNT_DISCOUNT_TITLE	Sconto:	
ITEMSHOP_ADD_DISCOUNT_HOUR	h	
ITEMSHOP_ADD_DISCOUNT_MINUTE	m	
ITEMSHOP_ADD_DISCOUNT_SECOND	s	
ITEMSHOP_ADD_DISCOUNT_TITLE1	Applica lo sconto a tutte le categorie:	
ITEMSHOP_ADD_ITEM_ACCEPT_TEXT_BUTTON	ACCETTA	
ITEMSHOP_ADD_ITEM_BONUS_TITLE	Bonus	
ITEMSHOP_ADD_ITEM_CATEGORY_TITLE	Categoria:	
ITEMSHOP_ADD_ITEM_PRICE_TITLE	Prezzo:	
ITEMSHOP_ADD_ITEM_RESET_TEXT_BUTTON	Resetta	
ITEMSHOP_ADD_ITEM_STONE_TITLE	Pietra	
ITEMSHOP_ADD_ITEM_VALUE_TITLE	Value	
ITEMSHOP_ADD_ITEM_VNUM_TITLE	VNUM:	
ITEMSHOP_ADMIN_PANEL_ADD_DISCOUNTS_TEXT_BUTTON	Aggiungi sconti	
ITEMSHOP_ADMIN_PANEL_ADD_DISCOUNTS_TOOLTIP_BUTTON	Aggiungi sconti con tempo a un articolo.	
ITEMSHOP_ADMIN_PANEL_ADD_ITEMS_TEXT_BUTTON	Aggiungi articoli	
ITEMSHOP_ADMIN_PANEL_ADD_ITEMS_TOOLTIP_BUTTON	Aggiungi nuovi articoli al negozio.	
ITEMSHOP_ADMIN_PANEL_NAME	GM Zone	
ITEMSHOP_ADMIN_PANEL_RETURN_TOOLTIP_BUTTON	Ritorna	
ITEMSHOP_ADMIN_PANEL_TITLE	Amministrazione	
ITEMSHOP_BEST_WHEEL_PRIZES	Miglior Prezzo	
ITEMSHOP_BUY	Compra	
ITEMSHOP_BUY_BUTTON	Compra %d (%s)	
ITEMSHOP_BUY_COIN	Home	
ITEMSHOP_BUY_ITEM_WITHOUT_AMOUNT_QUESTION	Vuoi comprare %s by %d %s?	
ITEMSHOP_BUY_ITEM_WITH_AMOUNT_QUESTION	Vuoi comprare %sx %s by %d %s?	
ITEMSHOP_BUY_TEXT	Voglio comprare |cffF7BD48%s|r ?	
ITEMSHOP_BUY_TEXT_COUNT	Voglio comprare |cffF7BD48%sx%d|r ?	
ITEMSHOP_CANCEL_CHANGE_PRICE	Cancella	
ITEMSHOP_CATEGORY_DISCOUNT_QUESTION	Sei sicuro di voler applicare uno sconto di %d%% in questa categoria %dH, %dM and %dS?	
ITEMSHOP_CHANGE_PRICE_QUESTION	Sei sicuro di voler cambiare il prezzo di questo articolo?	
ITEMSHOP_CHANGE_PRICE_TOOLTIP_BUTTON	Cambia prezzo	
ITEMSHOP_COINS	COINS:	
ITEMSHOP_COUNT	Quantità	
ITEMSHOP_DATE	Data: %s	
ITEMSHOP_DELETE_ITEM_QUESTION	Sei sicuro di voler eliminare questo elemento?	
ITEMSHOP_DELETE_ITEM_TOOLTIP_BUTTON	Elimina elemento	
ITEMSHOP_DISCOUNT_WEEK	Sconti della settimana	
ITEMSHOP_DRAGONCOINT	Dragon Coins	
ITEMSHOP_DRSSHOP_COIN	VC's	
ITEMSHOP_DRSSHOP_NAME	-	
ITEMSHOP_HOME_NAME	home	
ITEMSHOP_HOTITEMS	FORTUNE WHEEL	
ITEMSHOP_HOUR	Hours	
ITEMSHOP_HOURS_MINUTES_SECONDS	%dH %dM %dS	
ITEMSHOP_ISHOP_COIN	MD's	
ITEMSHOP_ISHOP_NAME	Shop	
ITEMSHOP_ITEMSEARCH_DEFAULT_TEXT	Cerca l'itemshop ...	
ITEMSHOP_ITEM_AMOUNT	Tu.	
ITEMSHOP_ITEM_DISCOUNT_QUESTION	Sei sicuro di voler applicare uno sconto di %di %a %s per %dH, %dM e %dS?	
ITEMSHOP_LAST_COUNT	Importo residuo: %d	
ITEMSHOP_LAST_DISCOUNTS	Ultimi sconti	
ITEMSHOP_LOAD	Caricamento dati ...	
ITEMSHOP_LOGS_NAME	Logs	
ITEMSHOP_MAIN_BUTTON	Avvia	
ITEMSHOP_MOST_BOUGHT_ITEMS	Articoli più acquistati	
ITEMSHOP_NEW_PRICE_TITLE	Nuovo prezzo:	
ITEMSHOP_OFFERS	|Eishop/offerte|e OFFERTE	
ITEMSHOP_PRICE	Prezzo	
ITEMSHOP_PRICE_NEW	|Eishop/mini_coin|e %s Monete	
ITEMSHOP_PRICE_ONLY_TEXT	%s Monete	
ITEMSHOP_PRICE_TITLE_BOX	Price: %d %s	
ITEMSHOP_PRICE_WITH_DISCOUNT	|Eishop/mini_coin|e |cffFF7B7B%s Monete (%d%%)	
ITEMSHOP_PURCHASES	SHOPPING	
ITEMSHOP_SEARCH_TEXT	Cercare...	
ITEMSHOP_SEARCH_TOOLTIP_BUTTON	Cercare	
ITEMSHOP_SHOP_BUTTON	Item Shop	
ITEMSHOP_SHOP_TITLE	Negozio:	
ITEMSHOP_TITLE_NAME	Item Shop	
ITEMSHOP_TITLE_PANEL	Item Shop	
ITEMSHOP_TOP_SELL	Oggetti più venduti	
ITEMSHOP_UPDATE_COINS_TOOLTIP_BUTTON	Aggiornamento monete	
ITEMSHOP_WHEEL	Buy Coins	
ITEMSHOP_WHEEL_BACK_ISHOP	Itemhop torna indietro	
ITEMSHOP_WHEEL_COIN_TEXT	 |Eishop/coin|e    Prezzo: 10 Monete	
ITEMSHOP_WHEEL_COIN_TEXT_INFO	Userai |cffF7BD48Coins|r per girare.	
ITEMSHOP_WHEEL_NAME	Ruota del destino	
ITEMSHOP_WHEEL_PRICE1	prezzo	
ITEMSHOP_WHEEL_PRICE2	10 monete	
ITEMSHOP_WHEEL_PURCHASE	|Eishop/wheel_icon|e  |cffF7BD48Fortune roulette|r	
ITEMSHOP_WHEEL_SKIP_ANIMATION	Salta animazione	
ITEMSHOP_WHEEL_TICKET_TEXT	|Eishop/wheel_ticket|e x1 ticket	
ITEMSHOP_WHEEL_TICKET_TEXT_INFO	Stai usando |cffF7BD48Roulette ticket|r per girare.	
ITEM_DROP_EVENT	Evento drop oggetti: %d%%	
JANUARY	Gennaio	
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Nessuno
JOB_ASSASSIN1	Vicininja
JOB_ASSASSIN2	Lontaninja
JOB_SHAMAN	Shamano
JOB_SHAMAN0	Nessuno
JOB_SHAMAN1	Shamano del drago
JOB_SHAMAN2	Shamano della guarigione
JOB_SURA	Sura
JOB_SURA0	Nessuno
JOB_SURA1	Sura delle armi
JOB_SURA2	Sura della magia
JOB_WARRIOR	Guerriero
JOB_WARRIOR0	Nessuno
JOB_WARRIOR1	Guerriero corporale
JOB_WARRIOR2	Guerriero mentale
JOB_WOLFMAN	Lican
JOB_WOLFMAN0	Lican principiante
JOB_WOLFMAN1	Istinto
JOB_WOLFMAN2	N.A.
JULY	Luglio	
JUNE	Giugno	
KEY_A	A	
KEY_D	D	
KEY_E	AND	
KEY_L	L	
KEY_N	N	
KEY_S	S	
KEY_V	V	
LEFT_TIME	Tempo rimanente	
LOGIN_CONNECT_FAILURE	Errore di collegamento con il server.
LOGIN_CONNECT_SUCCESS	Sei stato collegato al server.
LOGIN_CONNETING	Attendi, connessione al server in corso.
LOGIN_FAILURE_ALREAY	Il tuo account è già collegato!
LOGIN_FAILURE_BE_SAME_KEY	Problema d'iscrizione	
LOGIN_FAILURE_BLOCK_ID	Il tuo account non e' attivo. Controlla la tua mail!	
LOGIN_FAILURE_BLOCK_LOGIN	Scegli un altro server!	
LOGIN_FAILURE_NOBILL	Il tuo account non presenta alcun tempo di gioco.	
LOGIN_FAILURE_NOT_AVAIL	Il tuo account e' bannato. Contatta un Amministratore	
LOGIN_FAILURE_NOT_EXIST_ID	Account o Password sbagliati	
LOGIN_FAILURE_REPAIR_ID	È in corso il ripristino di alcuni oggetti per questo account.	
LOGIN_FAILURE_SHUTDOWN	Il server non è ancora aperto.
LOGIN_FAILURE_TOO_MANY_USER	Non sei riuscito a connetterti perchè ci sono troppi giocatori	
LOGIN_FAILURE_UNKNOWN	Non sei riuscito a connetterti per ragioni sconosciute.	
LOGIN_FAILURE_WEB_BLOCK	È stato bloccato sulla pagina web. Per favore controlli la sua e-mail.	
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Hai inserito un numero sbagliato.	
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Hai inserito per tre volte un numero sbagliato. /n La connessione è stata conclusa.	
LOGIN_FAILURE_WRONG_PASSWORD	Nome account o password errati	
LOGIN_INPUT_ID	Inserisci l'ID.	
LOGIN_INPUT_PASSWORD	Inserisci la password.	
LOGIN_PROCESSING	È in corso il login!	
MALL_CANNOT_INSERT	Non si può aprire qui.	
MALL_PASSWORD_TITLE	Password	
MAP_A1	Zona Yongan	
MAP_A2	Valle di Seungryong	
MAP_A3	Zona Yayang	
MAP_AG	Jungrang	
MAP_B1	Zona Joan	
MAP_B2	Valle di Imji	
MAP_B3	Zona Bokjung	
MAP_BAY	Baia Nefrite	
MAP_BG	Waryong	
MAP_C1	Zona Pyungmoo	
MAP_C2	Valle di Bangsan	
MAP_C3	Zona Bakra	
MAP_CAPE	Capo Fuoco del Drago	
MAP_CG	IM Ha	
MAP_DAWN	Falesia di Gautama	
MAP_DESERT	Deserto Yongbi	
MAP_FLAME	Doyumhwan	
MAP_NUSLUCK	Terra dei giganti	
MAP_SKELTOWER	Torre di Gumsan	
MAP_SNOW	Monte Sohan	
MAP_SPIDER	Kuahlo Dong	
MAP_TEMPLE	Tempio hwang	
MAP_THUNDER	Monti Tonanti	
MAP_TREE	Lungsam	
MAP_TRENT	Bosco Fantasma	
MAP_TRENT02	Foresta Rossa	
MAP_WL	Campo Serpi	
MARCH	Marzo	
MAY	Maggio	
MESSENGER_ADD_FRIEND	Aggiungi amico
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s ti ha aggiunto come amico.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Accettare?
MESSENGER_DO_YOU_DELETE	Cancellare?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Vuoi eliminare il numero di cellulare?
MESSENGER_EMPTY_LIST	Vuoto
MESSENGER_FAMILY	Famiglia
MESSENGER_FRIEND	Amici
MESSENGER_GUILD	Gilda
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Inserisci il codice di conferma che è stato inviato al tuo cellulare.	
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Inserire il numero di conferma	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Inserire il numero di cellulare per l'invio del messaggio di testo.	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Vuoi inserire il numero adesso?	
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Inserisci il numero di cellulare.	
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Invia Messaggio.	
MINIMAP	Apri Mini Mappa
MINIMAP_BOSS_TOOLTIP	[Respawn: %s]
MINIMAP_CANNOT_SEE	La mini mappa non può essere visualizzata.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Non è possibile visualizzare la mappa grande.
MINIMAP_DEC_SCALE	Riduci lo zoom
MINIMAP_INC_SCALE	Aumenta lo zoom
MINIMAP_OBSERVER_COUNT	%d osservatori
MINIMAP_SHOW_AREAMAP	Apri mappa grande
MINUTE	Minuti	
MISSION_BOSS	Capo cacciatore	
MISSION_BOSS_DESC	Uccidi tutti i boss richiesti per\ncompletare la missione	
MISSION_BOSS_SUB	Boss	
MISSION_CATCH_FISH	Il pescatore	
MISSION_CATCH_FISH_DESC	Cattura la quantità di pesce richiesta\n per completare la missione.	
MISSION_CATCH_FISH_SUB	Pesci	
MISSION_COMPLETED	Completato:	
MISSION_COMPLETED_COUNT	Missioni completate: %d	
MISSION_CRAFT_GAYA	Vidra crack	
MISSION_CRAFT_GAYA_DESC	Crafta l'oggetto gay richiesto	
MISSION_CRAFT_ITEM	Migliora gli oggetti	
MISSION_CRAFT_ITEM_DESC	Livella un oggetto con la benedizione \n per completare la missione	
MISSION_CRAFT_ITEM_SUB	Oggetto da creare:	
MISSION_DATE_TEXT	Nome: %s %d	
MISSION_DESTROY_ITEM	Distruggi oggetti	
MISSION_DESTROY_ITEM_DESC	Distruggi l'oggetto necessario per \ncompletare la missione.	
MISSION_DUNGEON	Dungeon completi	
MISSION_DUNGEON_DESC	Esegui il dungeon richiesto per \nacabar la missione.	
MISSION_DUNGEON_SUB	Dungeon	
MISSION_EARN_MONEY	Collezionista d'oro	
MISSION_EARN_MONEY_DESC	Ruba yang ai mob per ottenere \nlo yang richiesto e completare la missione.	
MISSION_FEED_PET	Dai da mangiare al tuo animale domestico	
MISSION_FEED_PET_DESC	Dai da mangiare al tuo animale domestico in modo che non muoia	
MISSION_KILLPLAYER	Uccidi giocatori	
MISSION_KILLPLAYER_DESC	Uccidi giocatori per completare la missione	
MISSION_LEFT_TIME	Tempo: %s	
MISSION_LEVEL_UP	Salita di livello	
MISSION_LEVEL_UP_DESC	Aumenta il tuo livello leggero.	
MISSION_MONSTER	Kill mostri	
MISSION_MONSTER_DESC	Uccidi i mostri richiesti \nfinish per finire la missione.	
MISSION_MONSTER_SUB	Mostri	
MISSION_MOUNT_TIME	Il cavaliere	
MISSION_MOUNT_TIME_DESC	Prendi il tempo richiesto.	
MISSION_NONE	Missione sconosciuta	
MISSION_OPEN_OFFLINESHOP	Apri negozio offline	
MISSION_OPEN_OFFLINESHOP_DESC	Apri un negozio offline	
MISSION_PLAYTIME	Giocatore attivo	
MISSION_PLAYTIME_DESC	Accumula la quantità di minuti necessari\n per completare la missione.	
MISSION_REFINE_ALCHEMY	Migliora la tua alchimia	
MISSION_REFINE_ALCHEMY_DESC	Migliora la tua alchimia per completare la missione	
MISSION_REFINE_ITEM	Migliora un oggetto	
MISSION_REFINE_ITEM_DESC	Migliora l'oggetto richiesto	
MISSION_REFINE_ITEM_SUB	Oggetto	
MISSION_REMAINING	Quantità:	
MISSION_SASH	Fusciacche	
MISSION_SASH_DESC	Combina tutte le ante richieste	
MISSION_SELL_ITEM	Vendere oggetti	
MISSION_SELL_ITEM_DESC	Vendi l'oggetto richiesto	
MISSION_SHOUT_CHAT	Usa la chat globale	
MISSION_SHOUT_CHAT_DESC	chatta con gli altri giocatori \usando la chat globale per completare la missione.	
MISSION_SPEND_MONEY	Merchant	
MISSION_SPEND_MONEY_DESC	Spendi lo Yang richiesto su un PNG per \ncompletare la missione.	
MISSION_SPRITE_STONE	Aggiungi pietre	
MISSION_SPRITE_STONE_DESC	Aggiungi pietre agli oggetti	
MISSION_STATUS_ACTIVE	|cff00ff00Status: Attiva	
MISSION_STATUS_DONE	|cff00ff00Status: Completata	
MISSION_STATUS_NOT_ACTIVE	|cffff0000Status: ¡Non attiva!	
MISSION_STONE	Metin distrutte!	
MISSION_STONE_DESC	Distrugge la quantità di metine richiesta \n per completare la missione.	
MISSION_SUB_ALL	Qualsiasi	
MISSION_TASK_COUNT	Missioni totali: %d	
MISSION_USE_EMOTICON	Usa le emozioni	
MISSION_USE_EMOTICON_DESC	Usa le emozioni per completare la missione	
MISSION_WHISPER	Send mp	
MISSION_WHISPER_DESC	Invia MPS ad altri giocatori	
MONETARY_COMBAT_ZONE	Punti	
MONETARY_UNIT0	Yang
MONEY_INPUT_DIALOG_SELLPRICE	Prezzo di vendita:	
MOONLIGHT_EVENT	Moonlight scatole	
MOUNT_DOYUMHWAN_MAP_NAME	Doyumhwan	
MOUNT_SOHAN_MAP_NAME	Monte Sohan	
MOUNT_YONGBI_MAP_NAME	Deserto Jongbi	
MOVE_CHANNEL_CANCEL	Cancella	
MOVE_CHANNEL_SELECT	Ok	
MOVE_CHANNEL_TITLE	Canali	
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Non puoi spostare alcun oggetto mentre hai un negozio privato aperto.	
MULTI_FARM_ACTIVE_CHAT	|cff00A8EB[Multi-Farm]|r |cffFFFFFF Questo personaggio ha il drop attivo!
MULTI_FARM_ACTIVE_TEXT	Vuoi attivare il Multi-Farm?	
MULTI_FARM_DEACTIVE_CHAT	|cff00A8EB[Multi-Farm]|r |cffFFFFFF Hai disattivato il drop per questo personaggio!|r
MULTI_FARM_DEACTIVE_TEXT	Vuoi disattivare Multi-Farm?	
MULTI_FARM_PREMIUM_EFFECT	Aumenta i personaggi da farmare +%d	SA
MULTI_FARM_TEXT	|Eemoji/key_lclick|eClick to ON/OFF Multi-Farm.	
MULTI_FARM_TITLE	Multi-Farm block	
MUSIC_EMPTY_MUSIC_LIST	No Backgroundmusic.
MUSIC_METIN2_DEFAULT_THEMA	Vidra Standard music
MUSIC_NOT_SELECT_MUSIC	No Music file chosen.
NAME_INPUT_PRICE	Price: 100k	
NAME_INPUT_TEXT	Rinomina	
NAME_PET_INPUT_TEXT	Nome del tuo pet	
NEEFD_REST	Prima devi riposare.	
NEW_AFFECT_DECORATION	Kashmir pack	SNA
NOBONUS	[Without bonus]	
NONE_AFFECT	Senza effetto	
NORMAL_EVENT_TIME	Dal: %s to: %s	
NOT_YET_SUPPORT	Non ancora supportato	
NOVEMBER	Novembre	
NPC_SEARCH	Cerca l'NPC	
NPC_SEARCH_TEXT	Respawnea sulle seguenti mappe:	
OCTOBER	Ottobre	
OFFLINESHOP_ACCEPT	Si	
OFFLINESHOP_ADD_TIME_DIALOG	Aumentare 12h. Costo: %s	
OFFLINESHOP_BUY_DIALOG	Compra articolo	
OFFLINESHOP_CANCEL	Cancella	
OFFLINESHOP_CANNOT_SELL_ITEM	Questo articolo non può essere venduto	
OFFLINESHOP_CLOSE	Chiudi il negozio/elimina i log	
OFFLINESHOP_CLOSE_DIALOG	Vuoi chiudere il tuo negozio offline?	
OFFLINESHOP_GET_BACK_ITEMS	Vuoi recuperare gli articoli?	
OFFLINESHOP_INPUT_PRICE_DIALOG_TITLE	Prezzo	
OFFLINESHOP_LOGS	I saldi	
OFFLINESHOP_LOG_TEXT	|cffe5d500%s|r date |cffe5d500%s[%sYang]|r articolo acquistato da. |cffe5d500%s|r
OFFLINESHOP_LOG_TEXT_COUNT	|cffe5d500%s|r date |cffe5d500x%d%s[%s] Yang|r articolo acquistato da|cffe5d500%s|r
OFFLINESHOP_MESSAGE	Hai venduto %s by %s yang	
OFFLINESHOP_MESSAGE_WITH_COUNT	Hai venduto x%d%s by %s yang	
OFFLINESHOP_REMOVE_LOGS	Vuoi eliminare i record?	
OFFLINESHOP_SEEN	Visualizzazioni: %d Totale: %d	
OFFLINE_SHOP_ITEM_SOLD	Oggetto venduto!	
OFFLINE_SHOP_ITEM_SOLD2	[Bought by: %s]	
OFFLINE_SHOP_TITLE	Shop	
OK	Ok	
ONLY_CHANNEL	Solo in CH %d	
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Non puoi attivare la modalità gilda se non appartieni a una gilda.
OPTION_PVPMODE_NOT_SUPPORT	Non puoi scegliere questa configurazione in modalità PvP.
OPTION_PVPMODE_PROTECT	Devi avere almeno il livello %d per poter cambiare la modalità PvP.
OPTION_SALESTEXT_RANGE	Negozi di titoli di gamma	
PARTY_BONUS_ATTACKER	Valore Attacco: +%d	SA
PARTY_BONUS_BERSERKER	Velocita' Attacco: +%d	SA
PARTY_BONUS_BUFFER	Durata Skill: +%d	SA
PARTY_BONUS_DEFENDER	Difesa +%d%%	SA
PARTY_BONUS_EXP	Bonus EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	Recupero HP per uccisione +%d%%	SA
PARTY_BONUS_TANKER	Max. HP: +%d	SA
PARTY_BREAK_UP	Elimina gruppo
PARTY_DO_YOU_ACCEPT	vorrebbe entrare a far parte del Gruppo.
PARTY_DO_YOU_JOIN	ti ha invitato a unirti al suo gruppo. Accettare?
PARTY_EXP_DISTRIBUTION_MODE	Distribuzione EXP
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Dipendente dal livello
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	I membri del gruppo di livello superiore ricevono più EXP.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	anche
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Tutti i membri del gruppo ricevono la stessa EXP.
PARTY_HEAL_ALL_MEMBER	Ripristina tutto.	
PARTY_INCREASE_AREA_150	Gamma del gruppo accresciuta del fattore 1.5 .	SNA
PARTY_INCREASE_AREA_200	Gamma del gruppo accresciuta del fattore 2.	SNA
PARTY_LEAVE	Lascia il gruppo
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Membro del gruppo di chiamata.
PARTY_REQUEST_DENIED	La tua richiesta è stata rifiutata.
PARTY_SET_ATTACKER	Costituisciti come Attaccante.
PARTY_SET_BERSERKER	Costituisciti come Berserker.
PARTY_SET_BUFFER	Costituisci come bloccante.
PARTY_SET_DEFENDER	Costituisciti come Difensore.
PARTY_SET_NORMAL	Ritira le impostazioni.
PARTY_SET_SKILL_MASTER	Costituisciti come maestro di abilità.
PARTY_SET_TANKER	Costituisciti come combattente con la lama.
PARTY_SKILL_ATTACKER	Valore di attacco base Attaccante +%.0f
PARTY_SKILL_BERSERKER	Berserker velocità d'attacco +%.0f
PARTY_SKILL_BUFFER	Blocco durata abilità +%.0f
PARTY_SKILL_DEFENDER	Difesa come difensore +%.0f%%
PARTY_SKILL_SKILL_MASTER	Rigenerazione HP come Skill Master +%.0f%%
PARTY_SKILL_TANKER	Massimo. Combattente con lama HP +%.0f
PARTY_SKILL_WARP	Possibilità di chiamare i membri del gruppo.
PASSWORD_TITLE	Password del magazzino
PET_ADD_SLOT_QUESTION	Vuoi sbloccare questo slot?	
PET_DIALOG	Non puoi usarlo con il livello attuale del tuo animale domestico! Livello necessario: %d.	
PET_GUI_AGE	Evolvi	
PET_GUI_BONUSES	Bonus passivi	
PET_GUI_BRAVE	Coraggioso	
PET_GUI_DURATION	Tempo rimasto	
PET_GUI_EVOLVE_BTN	Evolvi	
PET_GUI_EXPERIENCE	Esperienza	
PET_GUI_HERO	Eroico	
PET_GUI_PETSKILL	Skills	
PET_GUI_TITLE	Le informazioni del tuo pet	
PET_GUI_WILD	Selvaggio	
PET_GUI_YOUNG	Giovane	
PET_PROTEIN_QUESTION_TEXT	Aggiungere vita al tuo pet?	
PET_REMOVE_QUESTION_TEXT	Dimenticare tutte le abilità?	
PET_REMOVE_SLOT_QUESTION	Vuoi cancellare l'abilità (%s)?	
PET_SKIL_1	Metin Manual
PET_SKIL_10	Esoterica Manual
PET_SKIL_11	Undead Manual
PET_SKIL_12	Demons Manual
PET_SKIL_13	Experience Manual
PET_SKIL_14	Drop Manual
PET_SKIL_15	Yang Manual
PET_SKIL_16	Human M.Manual
PET_SKIL_17	Manual Res M.Human
PET_SKIL_18	Human Damage Manual
PET_SKIL_19	Human Damage Manual Res.
PET_SKIL_2	Monsters Manual
PET_SKIL_20	Media Manual
PET_SKIL_21	Average Res. Manual
PET_SKIL_22	Anti-Critical Manual
PET_SKIL_23	Anti Penetration Manual
PET_SKIL_24	Spell Speed Manual
PET_SKIL_25	Blocking Manual
PET_SKIL_26	Poison Res. Manual
PET_SKIL_27	Ice Manual
PET_SKIL_28	Earth Manual
PET_SKIL_29	Darkness Manual
PET_SKIL_3	Bosses Manual
PET_SKIL_4	Force Manual
PET_SKIL_5	Intelligence Manual
PET_SKIL_6	Dexterity Manual
PET_SKIL_7	Life Manual
PET_SKIL_8	Animal Manual
PET_SKIL_9	Orcs Manual
PICK_ITEM_TITLE	Codice articolo
PICK_MONEY_TITLE	Sum
PRIVATESHOPSEARCH_BOOKS	Books	
PRIVATESHOPSEARCH_COSTUME	Costumi	
PRIVATESHOPSEARCH_COSTUMES	Cosmetici	
PRIVATESHOPSEARCH_COUNT	Quantità	
PRIVATESHOPSEARCH_DRAGONSOULALCHEMY	Alchimia Del Drago	
PRIVATESHOPSEARCH_EQUIPMENT	Equipaggiamento	
PRIVATESHOPSEARCH_ITEMNAME	nome item	
PRIVATESHOPSEARCH_OTHERITEMS	Altri oggetti	
PRIVATESHOPSEARCH_PET	Pet System	
PRIVATESHOPSEARCH_PETS	Pets	
PRIVATESHOPSEARCH_SEARCH_BAR	Ricerca Globale	
PRIVATESHOPSEARCH_SELLER	Venditore	
PRIVATESHOPSEARCH_WEAPON	Armi	
PRIVATE_SHOP_CANNOT_SELL_ITEM	Non puoi vendere questo oggetto nel negozio privato.	
PRIVATE_SHOP_CLOSE_QUESTION	Vuoi chiudere il negozio privato?	
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Prezzo	
PURCHASES_ACCOUNTID	ID account	
PURCHASES_DATE	Date	
PURCHASES_IP	IP	
PURCHASES_ITEMBOUGHT	Oggetto acquistato	
PURCHASES_PRICE	Price	
PURCHASES_PRICE_TEXT	|Eishop/mini_coin|e |cfff7bd48%s dragon coins	
PVP_EVENT_TIME	Start in: %s	
PVP_LEVEL0	Cavaliere
PVP_LEVEL1	Nobile
PVP_LEVEL2	Buono
PVP_LEVEL3	Gentile
PVP_LEVEL4	Neutral
PVP_LEVEL5	Aggressivo
PVP_LEVEL6	Fraudulento
PVP_LEVEL7	Maligno
PVP_LEVEL8	Crudele
PVP_MODE_GUILD	PvP - Gilda attivata
PVP_MODE_KILL	PvP - Libero attivato
PVP_MODE_NORMAL	PvP - Pace attivata
PVP_MODE_PROTECT	PvP - Protezione attivata
PVP_MODE_REVENGE	PvP - Ostile attivata
PVP_OPTION_KILL	Libero
PVP_OPTION_NORMAL	Pace
